page,claim_text,claim_strength,study_type,source_doi,practice_studied,is_MoM,theme,null_or_critical,bidmc,reviewer_signoff
/mom-meditation-microsite/research/a-randomised-active-controlled-trial-to-examine-the-effects-of-an-onli/,"The aim of this study was to test this claim by investigating the effects of an online mindfulness intervention on executive function, critical thinking skills and associated thinking dispositions.",Randomized-trial evidence,RCT,10.1186/s40359-018-0226-3,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/a-randomised-active-controlled-trial-to-examine-the-effects-of-an-onli/,"However, no significant effects of group allocation were observed for either primary or secondary measures.",Randomized-trial evidence,RCT,10.1186/s40359-018-0226-3,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/a-randomised-active-controlled-trial-to-examine-the-effects-of-an-onli/,No evidence was found to suggest that engaging in guided mindfulness practice for 6 weeks using the online intervention method applied in this study improves critical thinking performance.,Randomized-trial evidence,RCT,10.1186/s40359-018-0226-3,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/a-randomised-controlled-trial-of-a-brief-online-mindfulness-based-inte/,There is growing evidence that mindfulness has positive consequences for both psychological and physical health in both clinical and non-clinical populations.,Randomized-trial evidence,RCT,10.1016/j.brat.2013.06.003,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/a-randomised-controlled-trial-of-a-brief-online-mindfulness-based-inte/,"Participation in the intervention was associated with significant improvements in all measured domains, where no significant changes on these measures were found for the control group.",Randomized-trial evidence,RCT,10.1016/j.brat.2013.06.003,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/a-randomised-controlled-trial-of-a-brief-online-mindfulness-based-inte/,This provides evidence in support of the feasibility and effectiveness of shorter self-guided mindfulness-based interventions.,Randomized-trial evidence,RCT,10.1016/j.brat.2013.06.003,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/a-randomized-controlled-trial-of-kundalini-yoga-in-mild-cognitive-impa/,"At baseline, 81 participants had no significant baseline group differences in clinical or demographic characteristics.",Randomized-trial evidence,RCT,10.1017/S1041610216002155,yoga,N,Focus & Attention,,N,
/mom-meditation-microsite/research/a-randomized-controlled-trial-of-mindfulness-meditation-for-chronic-in/,"Post hoc analyses revealed that each intervention was superior to SM on each of the patient-reported measures, but no significant differences were found when comparing MBSR to MBTI from baseline-to-post.",Randomized-trial evidence,RCT,10.5665/sleep.4010,Mindfulness-Based Stress Reduction (MBSR),N,Sleep,,N,
/mom-meditation-microsite/research/a-randomized-controlled-trial-of-mindfulness-meditation-for-chronic-in/,Mindfulness meditation appears to be a viable treatment option for adults with chronic insomnia and could provide an alternative to traditional treatments for insomnia.,Randomized-trial evidence,RCT,10.5665/sleep.4010,Mindfulness-Based Stress Reduction (MBSR),N,Sleep,,N,
/mom-meditation-microsite/research/a-structured-literature-review-on-the-role-of-mindfulness-mindful-eati/,There is a lack of compelling evidence for the effectiveness of mindfulness and mindful eating in weight management.,Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1017/S0954422417000154,mindfulness / meditation,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/a-structured-literature-review-on-the-role-of-mindfulness-mindful-eati/,The evidence base for intuitive eating is limited to date and further research is needed to examine its potential in altering eating behaviours.,Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1017/S0954422417000154,mindfulness / meditation,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/a-structured-literature-review-on-the-role-of-mindfulness-mindful-eati/,"Mindfulness appears to work by an increased awareness of internal, rather than external, cues to eat.",Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1017/S0954422417000154,mindfulness / meditation,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/a-systematic-review-and-meta-analysis-of-acceptance-and-mindfulness-ba/,This meta-analysis systematically reviewed the evidence on standardized acceptance-/mindfulness-based interventions in DSM-5 anxiety disorders.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1038/s41598-021-99882-w,Mindfulness-Based Stress Reduction (MBSR),N,Emotional Wellbeing,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/a-systematic-review-and-meta-analysis-of-acceptance-and-mindfulness-ba/,"We found 23 studies, mostly of unclear risk of bias, including 1815 adults with different DSM-5 anxiety disorders.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1038/s41598-021-99882-w,Mindfulness-Based Stress Reduction (MBSR),N,Emotional Wellbeing,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/a-systematic-review-and-meta-analysis-of-acceptance-and-mindfulness-ba/,The evidence suggests short-term anxiolytic effects of acceptance- and mindfulness-based interventions.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1038/s41598-021-99882-w,Mindfulness-Based Stress Reduction (MBSR),N,Emotional Wellbeing,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/a-systematic-review-and-meta-analysis-of-workplace-mindfulness-trainin/,"It synthesizes randomized controlled trial evidence from workplace-delivered training for changes in mindfulness, stress, mental health, well-being, and work performance outcomes.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1037/ocp0000146,mindfulness / meditation,N,Sleep,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/a-systematic-review-and-meta-analysis-of-workplace-mindfulness-trainin/,"Results indicate beneficial effects following training for mindfulness (g = 0.45, p < .001) and stress (g = 0.56, p < .001), anxiety (g = 0.62, p < .001) and psychological distress (g = 0.69, p < .001), and for well-being (g = 0.46, p = .002) and sleep (g = 0.26, p = .003).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1037/ocp0000146,mindfulness / meditation,N,Sleep,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/a-systematic-review-and-meta-analysis-of-workplace-mindfulness-trainin/,"No conclusions could be drawn from pooled data for burnout due to ambivalence in results, for depression due to publication bias, or for work performance due to insufficient data.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1037/ocp0000146,mindfulness / meditation,N,Sleep,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/a-systematic-review-of-the-neurophysiology-of-mindfulness-on-eeg-oscil/,"The systematic review revealed that mindfulness was most commonly associated with enhanced alpha and theta power as compared to an eyes closed resting state, although such outcomes were not uniformly reported.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.neubiorev.2015.09.018,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/a-systematic-review-of-the-neurophysiology-of-mindfulness-on-eeg-oscil/,"In summary, mindfulness is associated with increased alpha and theta power in both healthy individuals and in patient groups.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.neubiorev.2015.09.018,mindfulness / meditation,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/acceptance-and-commitment-therapy-and-yoga-for-drug-refractory-epileps/,The results indicate that both ACT and yoga significantly reduce seizure index and increase quality of life over time.,Randomized-trial evidence,RCT,10.1016/j.yebeh.2008.02.009,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/acceptance-and-commitment-therapy-and-yoga-for-drug-refractory-epileps/,"The results of this study suggest that complementary treatments, such as ACT and yoga, decrease seizure index and increase quality of life.",Randomized-trial evidence,RCT,10.1016/j.yebeh.2008.02.009,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/benefits-of-preparing-for-childbirth-with-mindfulness-training-a-rando/,"Mindfulness approaches, now widely disseminated, can alleviate symptoms of both chronic and acute pain and improve psychological adjustment, suggesting potential benefit when applied to childbirth education.",Randomized-trial evidence,RCT,10.1186/s12884-017-1319-3,mindfulness / meditation,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/benefits-of-preparing-for-childbirth-with-mindfulness-training-a-rando/,"This study suggests mindfulness training carefully tailored to address fear and pain of childbirth may lead to important maternal mental health benefits, including improvements in childbirth-related appraisals ﻿and﻿ the prevention of postpartum depression symptoms.",Randomized-trial evidence,RCT,10.1186/s12884-017-1319-3,mindfulness / meditation,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/benefits-of-preparing-for-childbirth-with-mindfulness-training-a-rando/,There is also some indication that MIL participants may use mindfulness coping in lieu of systemic opioid pain medication.,Randomized-trial evidence,RCT,10.1186/s12884-017-1319-3,mindfulness / meditation,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/breathing-practices-for-stress-and-anxiety-reduction-conceptual-framew/,Components of effective and ineffective interventions were evaluated to develop a conceptual framework of factors associated with stress/anxiety reduction effectiveness.,Meta-analytic evidence,Meta-analysis / Systematic review,10.3390/brainsci13121612,breath-and-attention meditation,adjacent,Stress & Anxiety,,N,
/mom-meditation-microsite/research/breathing-practices-for-stress-and-anxiety-reduction-conceptual-framew/,"Population, other breath paces, session duration ≥5 min, and group versus individual or at-home practices were not associated with effectiveness.",Meta-analytic evidence,Meta-analysis / Systematic review,10.3390/brainsci13121612,breath-and-attention meditation,adjacent,Stress & Anxiety,,N,
/mom-meditation-microsite/research/breathing-practices-for-stress-and-anxiety-reduction-conceptual-framew/,Following this evidence-based framework can help maximize the stress/anxiety reduction benefits of breathing practices.,Meta-analytic evidence,Meta-analysis / Systematic review,10.3390/brainsci13121612,breath-and-attention meditation,adjacent,Stress & Anxiety,,N,
/mom-meditation-microsite/research/brief-daily-meditation-enhances-attention-memory-mood-and-emotional-re/,"Compared to our control group, we found that 8 but not 4 weeks of brief, daily meditation decreased negative mood state and enhanced attention, working memory, and recognition memory as well as decreased state anxiety scores on the TSST.",Randomized-trial evidence,RCT,10.1016/j.bbr.2018.08.023,mindfulness / meditation,N,Focus & Attention,,N,
/mom-meditation-microsite/research/brief-daily-meditation-enhances-attention-memory-mood-and-emotional-re/,"This study not only suggests a lower limit for the duration of brief daily meditation needed to see significant benefits in non-experienced meditators, but suggests that even relatively short daily meditation practice can have similar behavioral effects as longer duration and higher-intensity mediation practices.",Randomized-trial evidence,RCT,10.1016/j.bbr.2018.08.023,mindfulness / meditation,N,Focus & Attention,,N,
/mom-meditation-microsite/research/brief-mindfulness-based-training-and-mindfulness-trait-attenuate-psych/,"We found that High Trait individuals have lower anxiety trait, anxiety state and perceived stress levels.",Randomized-trial evidence,RCT,10.1186/s40359-021-00520-x,yoga,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/brief-mindfulness-based-training-and-mindfulness-trait-attenuate-psych/,"Both groups reduced negative affect and cortisol, and no change was found in positive affect.",Randomized-trial evidence,RCT,10.1186/s40359-021-00520-x,yoga,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/brief-mindfulness-based-training-and-mindfulness-trait-attenuate-psych/,"Together, these results suggest that higher trait mindfulness is associated with low levels of psychological distress and that a brief mindfulness-based intervention seems to be useful to reduce distress measures in university students.",Randomized-trial evidence,RCT,10.1186/s40359-021-00520-x,yoga,N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/brief-mindfulness-training-for-negative-affectivity-a-systematic-revie/,No significant effect size differences were found between clinical and nonclinical samples.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1037/ccp0000324,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/brief-mindfulness-training-for-negative-affectivity-a-systematic-revie/,This meta-analysis indicates that brief mindfulness training modestly reduces negative affectivity.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1037/ccp0000324,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/brief-mindfulness-training-for-negative-affectivity-a-systematic-revie/,"Quantitative analyses indicated the presence of publication bias (i.e., unpublished null effect studies), highlighting the need to continue rigorous evaluation of brief mindfulness interventions.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1037/ccp0000324,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/changes-in-neural-connectivity-and-memory-following-a-yoga-interventio/,No study has explored the effect of yoga on cognitive decline and resting-state functional connectivity.,Randomized-trial evidence,RCT,10.3233/JAD-150653,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/changes-in-neural-connectivity-and-memory-following-a-yoga-interventio/,This study explored the relationship between performance on memory tests and resting-state functional connectivity before and after a yoga intervention versus active control for subjects with mild cognitive impairment (MCI).,Randomized-trial evidence,RCT,10.3233/JAD-150653,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/cognitive-and-immunological-effects-of-yoga-compared-to-memory-trainin/,"KYOn a transcriptional level, at 12- and 24-week follow-up, KY uniquely altered aging-associated signatures, including interferon gamma and other psycho-neuro-immune pathways.",Randomized-trial evidence,RCT,10.1038/s41398-024-02807-0,yoga,N,Focus & Attention,,N,
/mom-meditation-microsite/research/cognitive-and-immunological-effects-of-yoga-compared-to-memory-trainin/,"These results suggest clinical and biological benefits to KY for SCD, linking changes in cognition to the anti-inflammatory effects of yoga.",Randomized-trial evidence,RCT,10.1038/s41398-024-02807-0,yoga,N,Focus & Attention,,N,
/mom-meditation-microsite/research/conceptual-and-methodological-issues-in-research-on-mindfulness-and-me/,"Both basic science and clinical research on mindfulness, meditation, and related constructs have dramatically increased in recent years.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1037/a0039512,mindfulness / meditation,N,Emotional Wellbeing,field-methodology critique,N,
/mom-meditation-microsite/research/conceptual-and-methodological-issues-in-research-on-mindfulness-and-me/,"However, interpretation of these research results has been challenging.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1037/a0039512,mindfulness / meditation,N,Emotional Wellbeing,field-methodology critique,N,
/mom-meditation-microsite/research/cultivating-mindfulness-effects-on-well-being/,"The current study offers preliminary evidence that at least one aspect of mindfulness, measured by the Mindful Attention and Awareness Scale (MAAS; K.",Randomized-trial evidence,RCT,10.1002/jclp.20491,Mindfulness-Based Stress Reduction (MBSR),N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/cultivating-mindfulness-effects-on-well-being/,"These results suggest that distinct meditation-based practices can increase mindfulness as measured by the MAAS, which may partly mediate benefits.",Randomized-trial evidence,RCT,10.1002/jclp.20491,Mindfulness-Based Stress Reduction (MBSR),N,Stress & Anxiety,,N,
/mom-meditation-microsite/research/does-mindfulness-based-stress-reduction-training-have-an-impact-on-the/,"In an effort to combat burnout, a study investigates Mindfulness-Based Stress Reduction (MBSR) training for nurses.",Randomized-trial evidence,RCT,10.1007/s00420-024-02078-8,Mindfulness-Based Stress Reduction (MBSR),N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/does-mindfulness-based-stress-reduction-training-have-an-impact-on-the/,"The goal is to reduce stress and improve job satisfaction, ultimately enhancing patient care.",Randomized-trial evidence,RCT,10.1007/s00420-024-02078-8,Mindfulness-Based Stress Reduction (MBSR),N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/eeg-based-interpretation-of-human-brain-activity-during-yoga-and-medit/,Our literature search and review indicate a broad spectrum of neural mechanics under a variety of meditation styles have been investigated.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.ctcp.2021.101329,yoga,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/effect-of-a-single-session-of-yoga-and-meditation-on-stress-reactivity/,This systematic review synthesises the evidence for the effectiveness of a single session of yoga or its components including meditation and breathing techniques in reducing acute stress reactivity in healthy adults.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1002/smi.3324,yoga,adjacent,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/effect-of-mindfulness-yoga-on-anxiety-and-depression-in-early-breast-c/,"The objective of this study is to explore the effects of a mindfulness yoga treatment on emotional disorders, fatigue, pain, and health-related quality of life in early-stage breast cancer patients.",Randomized-trial evidence,RCT,10.1007/s00432-022-04167-y,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/effect-of-mindfulness-yoga-on-anxiety-and-depression-in-early-breast-c/,The eligible 136 participants were randomly assigned 1:1 to the experimental group (mindfulness yoga + conventional care) and the control group (conventional care).,Randomized-trial evidence,RCT,10.1007/s00432-022-04167-y,yoga,N,Clinical Research,,N,
/mom-meditation-microsite/research/effectiveness-of-online-mindfulness-interventions-on-medical-students-/,The evidence found in the systematic review exhibits the potential for online mindfulness interventions to be effective in addressing some mental health challenges of medical students.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/s12889-021-12341-z,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/effectiveness-of-online-mindfulness-interventions-on-medical-students-/,"There was insufficient evidence to support the use of online mindfulness interventions for burnout, depression, and anxiety.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/s12889-021-12341-z,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/effectiveness-of-online-mindfulness-interventions-on-medical-students-/,Longitudinal studies with randomised controlled trials are required to generate stronger and robust evidence.,Meta-analytic evidence,Meta-analysis / Systematic review,10.1186/s12889-021-12341-z,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/effectiveness-of-yoga-in-modulating-markers-of-immunity-and-inflammati/,Chronic inflammation is central to the pathogenesis of many chronic inflammatory conditions.,Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.7759/cureus.57541,yoga,adjacent,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/effectiveness-of-yoga-in-modulating-markers-of-immunity-and-inflammati/,"This review aims to analyze whether the practice of yoga, or yogic meditation and breathing, has any effect on the levels of inflammatory cytokines and other inflammatory markers in patients with various chronic inflammatory diseases such as rheumatoid arthritis, neoplastic disorders, and asthma, as well as in healthy subjects, compared to usual care or sham interventions.",Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.7759/cureus.57541,yoga,adjacent,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/effects-of-a-prenatal-mindfulness-program-on-longitudinal-changes-in-s/,"Despite this, there was no significant difference between the groups in terms of the quality of mother-infant bonding.",Randomized-trial evidence,RCT,10.1186/s12884-023-05873-2,mindfulness / meditation,N,Stress & Anxiety,null/mixed (F12-verified),N,
/mom-meditation-microsite/research/effects-of-breathing-exercises-in-patients-with-chronic-obstructive-pu/,A network meta-analysis of randomized controlled trials (RCTs) was conducted to compare and rank the effectiveness of various breathing exercises for patients with chronic obstructive pulmonary disease (COPD).,Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.apmr.2023.04.014,yoga,adjacent,Clinical Research,,N,
/mom-meditation-microsite/research/effects-of-breathing-exercises-in-patients-with-chronic-obstructive-pu/,"We searched PubMed, Web of Science, Embase, and the Cochrane Library databases to determine the articles.",Meta-analytic evidence,Meta-analysis / Systematic review,10.1016/j.apmr.2023.04.014,yoga,adjacent,Clinical Research,,N,
/mom-meditation-microsite/research/effects-of-mind-body-exercise-on-perimenopausal-and-postmenopausal-wom/,"Traditional meta-analysis indicated that mind-body exercise significantly enhanced bone mineral density in perimenopausal and postmenopausal women compared with control groups, with a standardized mean difference (SMD) of 0.41 (95% CI, 0.17 to 0.66; P = 0.001, I2 = 7%).",Meta-analytic evidence,Meta-analysis / Systematic review,10.1097/GME.0000000000002336,Tai Chi,N,Sleep,,N,
/mom-meditation-microsite/research/effects-of-mindfulness-training-and-exercise-on-cognitive-function-in-/,The 2 primary outcomes were composites of episodic memory and executive function (standardized to a mean [SD] of 0 [1]; higher composite scores indicate better cognitive performance) from neuropsychological testing; the primary end point was 6 months and the secondary end point was 18 months.,Randomized-trial evidence,RCT,10.1001/jama.2022.21680,Mindfulness-Based Stress Reduction (MBSR),N,Focus & Attention,,N,
/mom-meditation-microsite/research/effects-of-mindfulness-training-and-exercise-on-cognitive-function-in-/,"At 6 months, there was no significant effect of mindfulness training or exercise on episodic memory (MBSR vs no MBSR: 0.44 vs 0.48; mean difference, -0.04 points [95% CI, -0.15 to 0.07]; P = .50; exercise vs no exercise: 0.49 vs 0.42; difference, 0.07 [95% CI, -0.04 to 0.17]; P = .23) or executive function (MBSR vs no MBSR: 0.39 vs 0.31; mean difference, 0.08 points [95% CI, -0.02 to 0.19]; P = .1",Randomized-trial evidence,RCT,10.1001/jama.2022.21680,Mindfulness-Based Stress Reduction (MBSR),N,Focus & Attention,,N,
/mom-meditation-microsite/research/effects-of-mindfulness-training-and-exercise-on-cognitive-function-in-/,There was no significant interaction between mindfulness training and exercise (P = .93 for memory and P = .29 for executive function) at 6 months.,Randomized-trial evidence,RCT,10.1001/jama.2022.21680,Mindfulness-Based Stress Reduction (MBSR),N,Focus & Attention,,N,
/mom-meditation-microsite/research/effects-of-mindfulness-yoga-vs-stretching-and-resistance-training-exer/,"Among patients with mild-to-moderate PD, the mindfulness yoga program was found to be as effective as SRTE in improving motor dysfunction and mobility, with the additional benefits of a reduction in anxiety and depressive symptoms and an increase in spiritual well-being and HRQOL.",Randomized-trial evidence,RCT,10.1001/jamaneurol.2019.0534,yoga,N,Emotional Wellbeing,,N,
/mom-meditation-microsite/research/effects-of-mobile-mindfulness-meditation-on-the-mental-health-of-unive/,The evidence level of the results from the 10 studies was determined to be moderate to low.,Meta-analytic evidence,Meta-analysis / Systematic review,10.2196/39128,mindfulness / meditation,N,Brief & App-Based Practice,,N,
/mom-meditation-microsite/research/effects-of-yoga-in-men-with-prostate-cancer-on-quality-of-life-and-imm/,"Diagnosis and treatment of prostate cancer is associated with anxiety, fear, and depression in up to one-third of men.",Randomized-trial evidence,RCT,10.1038/s41391-021-00470-w,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/effects-of-yoga-in-men-with-prostate-cancer-on-quality-of-life-and-imm/,"Yoga improves health-related quality of life (QoL) in patients with several types of cancer, but evidence of its efficacy in enhancing QoL is lacking in prostate cancer.",Randomized-trial evidence,RCT,10.1038/s41391-021-00470-w,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/effects-of-yoga-in-men-with-prostate-cancer-on-quality-of-life-and-imm/,"The yoga group also showed decreased numbers of regulatory T-cells, myeloid-derived suppressor cells, indicating antitumor activity, and reduction in inflammatory cytokine levels (granulocyte colony-stimulating factor [0.55 (0.05-1.05), p = 0.03], monocyte chemoattractant protein [0.22 (0.01-0.43), p = 0.04], and FMS-like tyrosine kinase-3 ligand [0.91 (-0.01, 1.82), p = 0.053].",Randomized-trial evidence,RCT,10.1038/s41391-021-00470-w,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/effects-of-yoga-on-the-autonomic-nervous-system-gamma-aminobutyric-aci/,"A theory is proposed to explain the benefits of yoga practices in diverse, frequently comorbid medical conditions based on the concept that yoga practices reduce allostatic load in stress response systems such that optimal homeostasis is restored.",Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1016/j.mehy.2012.01.021,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/effects-of-yoga-on-the-autonomic-nervous-system-gamma-aminobutyric-aci/,"It is hypothesized that stress induces (1) imbalance of the autonomic nervous system (ANS) with decreased parasympathetic nervous system (PNS) and increased sympathetic nervous system (SNS) activity, (2) underactivity of the gamma amino-butyric acid (GABA) system, the primary inhibitory neurotransmitter system, and (3) increased allostatic load.",Mechanistic / observational evidence,Cross-sectional / Mechanistic,10.1016/j.mehy.2012.01.021,yoga,N,Brain & Mechanisms,,N,
/mom-meditation-microsite/research/effects-of-yoga-versus-walking-on-mood-anxiety-and-brain-gaba-levels-a/,The 12-week yoga intervention was associated with greater improvements in mood and anxiety than a metabolically matched walking exercise.,Randomized-trial evidence,RCT,10.1089/acm.2010.0007,yoga,N,Brain & Mechanisms,,N,
