slug,had_duplication_bug,had_verbatim_lift,change_type,original_excerpt,rewritten_to
a-randomised-controlled-trial-of-a-brief-online-mindfulness-based-inte,Y,N,DUP,This provides evidence in support of the feasibility and effectiveness of shorte,(removed; already covered / no distinct point)
a-systematic-review-and-meta-analysis-of-acceptance-and-mindfulness-ba,Y,N,DUP,"We found 23 studies, mostly of unclear risk of bias, including 1815 adults with ","Several of the pooled studies had methodological weaknesses, which lowers confidence in the result. | The evidence is li"
a-systematic-review-and-meta-analysis-of-workplace-mindfulness-trainin,Y,N,DUP,No conclusions could be drawn from pooled data for burnout due to ambivalence in,"There were signs of publication bias, so the true effect may be smaller than reported. | The evidence is limited or mixe"
benefits-of-preparing-for-childbirth-with-mindfulness-training-a-rando,N,Y,LIFT,"This study﻿, the Prenatal Education About Reducing Labor Stress (PEARLS) study, ",(removed; already covered / no distinct point)
brief-daily-meditation-enhances-attention-memory-mood-and-emotional-re,Y,Y,LIFT,Meditation is an ancient practice that cultivates a calm yet focused mind; howev,(removed; already covered / no distinct point)
brief-daily-meditation-enhances-attention-memory-mood-and-emotional-re,Y,Y,DUP,This study not only suggests a lower limit for the duration of brief daily medit,(removed; already covered / no distinct point)
brief-mindfulness-training-for-negative-affectivity-a-systematic-revie,Y,Y,LIFT,"However, when accounting for publication bias, the overall effect size of brief ","There were signs of publication bias, so the true effect may be smaller than reported."
brief-mindfulness-training-for-negative-affectivity-a-systematic-revie,Y,Y,DUP,"Quantitative analyses indicated the presence of publication bias (i.e., unpublis","The evidence is limited or mixed, so firm conclusions are not yet warranted."
conceptual-and-methodological-issues-in-research-on-mindfulness-and-me,N,Y,LIFT,Included among the key topics is the role of first-person experience and how it ,"Key outcomes were self-reported, which can inflate apparent effects. | Participants could not be blinded to the practice"
effectiveness-of-online-mindfulness-interventions-on-medical-students-,Y,N,DUP,There was insufficient evidence to support the use of online mindfulness interve,"The evidence is limited or mixed, so firm conclusions are not yet warranted."
effects-of-mindfulness-training-and-exercise-on-cognitive-function-in-,N,Y,LIFT,There were 5 reported secondary outcomes: hippocampal volume and dorsolateral pr,"Key outcomes were self-reported, which can inflate apparent effects."
effects-of-mindfulness-yoga-vs-stretching-and-resistance-training-exer,N,Y,LIFT,Generalized estimating equation analyses revealed that the yoga group had signif,"The participants may not represent the general population, which limits how far the findings generalize."
effects-of-mobile-mindfulness-meditation-on-the-mental-health-of-unive,N,Y,LIFT,Sensitivity analyses and subgroup analyses were performed for results with high ,"The studies varied widely in method and population, so the combined estimate blurs real differences between them."
effects-of-mobile-mindfulness-meditation-on-the-mental-health-of-unive,N,Y,LIFT,The use of either waitlist control or traditional face-to-face intervention in t,(removed; already covered / no distinct point)
effects-of-yoga-in-men-with-prostate-cancer-on-quality-of-life-and-imm,N,Y,LIFT,"The primary outcome was self-reported QoL, assessed by the Expanded Prostate Ind","Key outcomes were self-reported, which can inflate apparent effects."
guided-self-help-works-randomized-waitlist-controlled-trial-of-pacific,Y,N,DUP,"This study provides evidence that Pacifica, a popular commercially available sel","Key outcomes were self-reported, which can inflate apparent effects."
health-care-workers-need-for-headspace-findings-from-a-multisite-defin,N,Y,LIFT,"Outcomes were subscales of the Depression, Anxiety, and Stress (primary outcome)","Key outcomes were self-reported, which can inflate apparent effects."
impact-of-short-and-long-term-mindfulness-meditation-training-on-amygd,N,Y,LIFT,We evaluated the impact of long- and short-term mindfulness meditation training ,"Follow-up was short, so it is unclear whether any benefit lasts."
impact-of-short-and-long-term-mindfulness-meditation-training-on-amygd,N,Y,LIFT,Short-term training consisted of an 8-week Mindfulness- Based Stress Reduction c,"There is little evidence that the practice does anything specific beyond general relaxation or attention, as few studies"
impact-of-short-and-long-term-mindfulness-meditation-training-on-amygd,N,Y,LIFT,"Short-term training, compared to the control intervention, also led to increased",(dropped)
isha-yoga-practices-vegan-diet-and-participation-in-samyama-meditation,N,Y,LIFT,"After the preparation phase, changes in branched short-chain fatty acids, higher",(removed; already covered / no distinct point)
meditation-programs-for-psychological-stress-and-well-being-a-systemat,Y,Y,LIFT,"We graded the strength of evidence using 4 domains (risk of bias, precision, dir","Several of the pooled studies had methodological weaknesses, which lowers confidence in the result."
meditation-programs-for-psychological-stress-and-well-being-a-systemat,Y,Y,DUP,We found low evidence of no effect or insufficient evidence of any effect of med,"The evidence is limited or mixed, so firm conclusions are not yet warranted."
mindfulness-based-stress-reduction-for-healthy-individuals-a-meta-anal,N,Y,LIFT,"However, heterogeneity was high, probably due to differences in the study design","The studies varied widely in method and population, so the combined estimate blurs real differences between them."
mindfulness-based-stress-reduction-for-stress-management-in-healthy-pe,Y,N,DUP,"However, important limitations of the included studies as well as the paucity of","Several of the pooled studies had methodological weaknesses, which lowers confidence in the result. | There is little ev"
mindfulness-for-smoking-cessation,Y,N,DUP,"However, the evidence was of low and very low certainty due to risk of bias, inc","Several of the pooled studies had methodological weaknesses, which lowers confidence in the result."
mindfulness-meditation-and-the-immune-system-a-systematic-review-of-ra,Y,Y,LIFT,Although studies have shown that mindfulness meditation can improve self-reporte,"Key outcomes were self-reported, which can inflate apparent effects."
mindfulness-meditation-and-the-immune-system-a-systematic-review-of-ra,Y,Y,LIFT,This analysis revealed substantial heterogeneity across studies with respect to ,"The studies varied widely in method and population, so the combined estimate blurs real differences between them."
mindfulness-meditation-and-the-immune-system-a-systematic-review-of-ra,Y,Y,DUP,"On the basis of this analysis, we describe the limitations of existing work and ",(removed; already covered / no distinct point)
online-guided-meditation-training-isha-kriya-improves-self-reported-sy,N,Y,LIFT,Participants completed survey responses for the following time points: baseline ,"Key outcomes were self-reported, which can inflate apparent effects."
the-effect-of-mindfulness-based-programs-on-cognitive-function-in-adul,N,Y,LIFT,Limitations include the primarily unclear within-study risk of bias (only a mino,"Several of the pooled studies had methodological weaknesses, which lowers confidence in the result. | The evidence is li"
the-effect-of-yoga-on-sleep-quality-and-insomnia-in-women-with-sleep-p,N,Y,LIFT,Two reviewers independently evaluated risk of bias by using the risk of bias too,"Several of the pooled studies had methodological weaknesses, which lowers confidence in the result."
the-effectiveness-of-mindfulness-based-programs-in-reducing-stress-exp,N,Y,LIFT,Recently nurses have been experiencing increased stress related to other factors,(removed; already covered / no distinct point)
the-impact-of-mindfulness-meditation-on-the-wandering-mind-a-systemati,Y,Y,DUP,The aim of this systematic review is to present a synthesis of available finding,"Follow-up was short, so it is unclear whether any benefit lasts."
the-impact-of-mindfulness-meditation-on-the-wandering-mind-a-systemati,Y,Y,LIFT,"Reviewed studies revealed a high heterogeneity in designs, outcome measures and ","The studies varied widely in method and population, so the combined estimate blurs real differences between them."
the-impact-of-mindfulness-meditation-on-the-wandering-mind-a-systemati,Y,Y,LIFT,Cross-sectional studies highlighted differences between expert meditators and na,"Key outcomes were self-reported, which can inflate apparent effects."
the-influence-of-mindfulness-meditation-combined-with-progressive-musc,N,Y,LIFT,In terms of the kidney disease quality of life (KDQOL Combined intervention trai,(removed; already covered / no distinct point)
yoga-and-cognition-a-meta-analysis-of-chronic-and-acute-effects,N,Y,LIFT,"Although the studies are limited by sample size, heterogeneous population charac","The studies varied widely in method and population, so the combined estimate blurs real differences between them. | The "
yoga-and-heart-rate-variability-a-comprehensive-review-of-the-literatu,Y,N,DUP,It is premature to draw any firm conclusions about yoga and HRV as most studies ,"The evidence base is small, so the finding is preliminary. | The evidence is limited or mixed, so firm conclusions are n"
yoga-for-anxiety-a-systematic-review-and-meta-analysis-of-randomized-c,N,Y,LIFT,Meta-analyses revealed evidence for small short-term effects of yoga on anxiety ,"There is little evidence that the practice does anything specific beyond general relaxation or attention, as few studies"
yoga-for-breast-cancer-patients-and-survivors-a-systematic-review-and-,N,Y,LIFT,Evidence was found for short-term effects on global health-related quality of li,"Follow-up was short, so it is unclear whether any benefit lasts."
yoga-for-chronic-non-specific-low-back-pain,N,Y,LIFT,Moderate-certainty evidence from six trials showed that there is probably a smal,(removed; already covered / no distinct point)
yoga-for-depression-a-systematic-review-and-meta-analysis,Y,N,DUP,"Regarding severity of depression, there was moderate evidence for short-term eff","Follow-up was short, so it is unclear whether any benefit lasts."
yoga-for-depression-a-systematic-review-and-meta-analysis,Y,N,DUP,Limited evidence was found for short-term effects of yoga on anxiety compared to,(dropped)
yoga-for-improving-health-related-quality-of-life-mental-health-and-ca,N,Y,LIFT,We assessed potential risk of publication bias through visual analysis of funnel,"The studies varied widely in method and population, so the combined estimate blurs real differences between them. | Ther"
yoga-for-improving-health-related-quality-of-life-mental-health-and-ca,N,Y,LIFT,"Thirteen studies had low risk of selection bias, five studies reported adequate ","Follow-up was short, so it is unclear whether any benefit lasts. | Participants could not be blinded to the practice, so"
yoga-for-treating-low-back-pain-a-systematic-review-and-meta-analysis,Y,N,DUP,"Compared with passive control, yoga was associated with short-term improvements ","Follow-up was short, so it is unclear whether any benefit lasts."
yoga-mindfulness-based-stress-reduction-and-stress-related-physiologic,N,Y,LIFT,"Risk of bias assessments included sequence generation, allocation concealment, b","Several of the pooled studies had methodological weaknesses, which lowers confidence in the result. | Participants could"
yoga-nidra-for-hypertension-a-systematic-review-and-meta-analysis,N,Y,LIFT,"The overall risk of bias for the three RCTs was high, whereas for the five non-R","Several of the pooled studies had methodological weaknesses, which lowers confidence in the result."
yoga-research-review,Y,N,DUP,The methods and results of those studies are briefly summarized along with their,(removed; already covered / no distinct point)
